"period","borealization_index","order"
"preindustrial",-2.3625874557214,1
"preindustrial",1.96455585127516,1
"preindustrial",-3.45897778934421,1
"preindustrial",-1.60314371814046,1
"preindustrial",0.938250066775875,1
"preindustrial",-0.978158856608642,1
"preindustrial",-0.836616165674259,1
"preindustrial",-1.5097480377265,1
"preindustrial",-2.16436365294062,1
"preindustrial",-0.774252967933985,1
"preindustrial",-2.0273192160942,1
"preindustrial",-1.88639070094083,1
"preindustrial",-1.47855068308432,1
"preindustrial",-1.60643619182794,1
"preindustrial",-1.73614757059241,1
"preindustrial",-0.501189226373735,1
"preindustrial",-1.06598018272789,1
"preindustrial",-1.13951084648044,1
"preindustrial",-2.52437573808391,1
"preindustrial",-2.75680163391451,1
"preindustrial",0.447731008008845,1
"preindustrial",-3.65005839016512,1
"preindustrial",-3.08958876751347,1
"preindustrial",-2.00578782048218,1
"preindustrial",-0.921325086968977,1
"preindustrial",-0.729313517850127,1
"preindustrial",-0.451126412416232,1
"preindustrial",0.504926528233614,1
"preindustrial",-1.13741421418268,1
"preindustrial",-0.598352942516761,1
"preindustrial",-2.31613222223732,1
"preindustrial",-0.660663873179267,1
"preindustrial",-1.41614071814798,1
"preindustrial",-0.741822699123145,1
"preindustrial",-3.12028568849472,1
"preindustrial",-1.70170281086877,1
"preindustrial",-0.592694175935987,1
"preindustrial",-0.429486962798474,1
"preindustrial",-1.5144899749113,1
"preindustrial",0.0152368989002596,1
"preindustrial",-3.76846395104236,1
"preindustrial",-0.961289843881919,1
"preindustrial",-1.1284601734075,1
"preindustrial",-0.549960751843908,1
"preindustrial",-1.46114041972701,1
"preindustrial",-0.0404565562505854,1
"preindustrial",-1.82997455935507,1
"preindustrial",-0.382898832613454,1
"preindustrial",-1.28523197009205,1
"preindustrial",-2.74454092074216,1
"preindustrial",-0.319866051359648,1
"preindustrial",-0.628408697639773,1
"preindustrial",0.433672273911913,1
"preindustrial",-0.405633010035695,1
"preindustrial",-1.40643375120479,1
"preindustrial",-1.5707497808211,1
"preindustrial",-0.0173847532380486,1
"preindustrial",-0.30710109322073,1
"preindustrial",-1.65156364592638,1
"preindustrial",-1.38190204012869,1
"preindustrial",-0.879852588274089,1
"preindustrial",-3.06580805806596,1
"preindustrial",-1.63614021242076,1
"preindustrial",-1.72956696484794,1
"preindustrial",-2.76281661213129,1
"preindustrial",0.638414555736136,1
"preindustrial",-0.938821316381909,1
"preindustrial",0.354244562343825,1
"preindustrial",-2.58720359003439,1
"preindustrial",-1.67755579940266,1
"preindustrial",0.180566271250614,1
"preindustrial",-3.31605342250228,1
"preindustrial",-0.137439747318248,1
"preindustrial",-1.4231944579708,1
"preindustrial",-2.01631890360057,1
"preindustrial",-0.967868731326536,1
"preindustrial",-1.31117252183673,1
"preindustrial",-3.05118718984681,1
"preindustrial",0.0181505739958787,1
"preindustrial",-0.112467203057628,1
"preindustrial",-0.319580785523697,1
"preindustrial",-0.22223731407463,1
"preindustrial",-1.00816496624103,1
