"year","trend","trend2","trend3","trend3_lag1","trend_lag1","trend2_lag1","trend2_lag2","log_mean","sd","log_mean_lag1"
2004,0.748409287044829,0.86441218285017,0.826851492268578,0.922071364290941,0.980415078655512,0.866072594880452,0.892899507108656,8.92066913533645,1.39036776158839e-05,8.50410018900636
2005,0.946583087663925,0.847496187354377,0.891802484454755,0.826851492268578,0.748409287044829,0.86441218285017,0.866072594880452,9.15038619820958,0.000838258653821745,8.92066913533645
2006,-0.373543992736865,0.28651954746353,0.44048279399063,0.891802484454755,0.946583087663925,0.847496187354377,0.86441218285017,8.72644494424439,0.16238404665035,9.15038619820958
2007,-1.14309526243539,-0.758319627586128,-0.190018722502777,0.44048279399063,-0.373543992736865,0.28651954746353,0.847496187354377,8.73939897330936,NA,8.72644494424439
2008,-1.54380936912337,-1.34345231577938,-1.02014954143188,-0.190018722502777,-1.14309526243539,-0.758319627586128,0.28651954746353,7.54901443680014,NA,8.73939897330936
2009,-1.55905515400487,-1.55143226156412,-1.41531992852121,-1.02014954143188,-1.54380936912337,-1.34345231577938,-0.758319627586128,9.25307976461289,NA,7.54901443680014
2010,-1.70185686959446,-1.63045601179967,-1.60157379757423,-1.41531992852121,-1.55905515400487,-1.55143226156412,-1.34345231577938,10.3365864034819,NA,9.25307976461289
2011,-0.158634537891124,-0.930245703742792,-1.13984885383015,-1.60157379757423,-1.70185686959446,-1.63045601179967,-1.55143226156412,9.26994896132959,NA,10.3365864034819
2012,-1.99560869029822,-1.07712161409467,-1.28536669926127,-1.13984885383015,-0.158634537891124,-0.930245703742792,-1.63045601179967,9.1936818057823,NA,9.26994896132959
2013,-1.19730808330724,-1.59645838680273,-1.11718377049886,-1.28536669926127,-1.99560869029822,-1.07712161409467,-0.930245703742792,9.03088479534239,NA,9.1936818057823
2014,0.64906483745246,-0.27412162292739,-0.847950645384334,-1.11718377049886,-1.19730808330724,-1.59645838680273,-1.07712161409467,9.48407448457192,NA,9.03088479534239
2015,1.08895724935834,0.8690110434054,0.180238001167853,-0.847950645384334,0.64906483745246,-0.27412162292739,-1.59645838680273,9.61910111296301,NA,9.48407448457192
2016,1.8215472718257,1.45525226059202,1.1865231195455,0.180238001167853,1.08895724935834,0.8690110434054,-0.27412162292739,9.99229708079686,NA,9.61910111296301
2017,0.656232848227407,1.23889006002655,1.18891245647048,1.1865231195455,1.8215472718257,1.45525226059202,0.8690110434054,10.1686878426462,NA,9.99229708079686
2018,2.1212309530254,1.3887319006264,1.53300369102617,1.18891245647048,0.656232848227407,1.23889006002655,1.45525226059202,10.2347141113184,NA,10.1686878426462
2019,2.16995288015992,2.14559191659266,1.64913889380424,1.53300369102617,2.1212309530254,1.3887319006264,1.23889006002655,7.15818380306532,NA,10.2347141113184
2020,1.29053101316703,1.73024194666347,1.86057161545078,1.64913889380424,2.16995288015992,2.14559191659266,1.3887319006264,NA,NA,7.15818380306532
2021,1.2698578457101,1.28019442943856,1.57678057967902,1.86057161545078,1.29053101316703,1.73024194666347,2.14559191659266,4.57135902183516,NA,5.86477141245024
2022,-0.0391742400634525,0.615341802823323,0.840404872937892,1.57678057967902,1.2698578457101,1.28019442943856,1.73024194666347,8.92720428677546,NA,4.57135902183516
