"year","borealization_index"
1961,-0.895499404038284
1961,-2.12111448201324
1961,-1.03060668731444
1961,-1.73306248677015
1961,-1.19486221516966
1961,-2.37263322583418
1961,-1.01596912150295
1962,-1.06066399502957
1962,-1.09229692342822
1962,-2.98002402073804
1962,-0.690454928558604
1962,-1.47613990812719
1962,-0.791044422455129
1962,-1.26759279770971
1962,-1.07333792821507
1962,-2.21554373155506
1962,-1.82502696323633
1962,-0.0546154151895202
1962,-2.26523592518775
1962,-1.44813222353183
1962,-2.49533280722758
1962,-1.04501273447796
1962,-3.4445593747806
1962,-0.595773575062709
1962,-1.71847921997322
1962,-0.000991541680609886
1962,-1.750572959241
1963,-1.76816598890278
1963,-0.804415441646388
1963,-1.17072874622544
1963,-0.724291309714528
1963,-1.47822748024465
1963,-0.443363065237332
1963,-0.724031928865861
