"sst.anomaly","trend","cond__","effect1__","estimate__","se__","lower__","upper__"
-1.5476908816135,-0.0500041980849522,"1",-1.5476908816135,-1.86635530098583,0.314755340220651,-2.58108752986761,-1.18323248947763
-1.54650511313647,-0.0500041980849522,"1",-1.54650511313647,-1.86555433140264,0.314618389702692,-2.57943173815942,-1.18359927290892
-1.54531934465943,-0.0500041980849522,"1",-1.54531934465943,-1.86469416712414,0.314287509545523,-2.57779151639639,-1.18396596327276
-1.54413357618239,-0.0500041980849522,"1",-1.54413357618239,-1.86375318912796,0.314007415097442,-2.57666393277065,-1.18433255669132
-1.54294780770536,-0.0500041980849522,"1",-1.54294780770536,-1.86292437177686,0.31386731092726,-2.57545542006975,-1.18470254806027
-1.54176203922832,-0.0500041980849522,"1",-1.54176203922832,-1.86201780994604,0.313583128598544,-2.57395164026057,-1.18508468502872
-1.54057627075128,-0.0500041980849522,"1",-1.54057627075128,-1.86115372465281,0.31339050700067,-2.57243171574307,-1.1850500147523
-1.53939050227425,-0.0500041980849522,"1",-1.53939050227425,-1.86031798829678,0.313042662593724,-2.57079826308083,-1.18459007155939
-1.53820473379721,-0.0500041980849522,"1",-1.53820473379721,-1.85958603166619,0.312948120509824,-2.56894515816191,-1.1841301344703
-1.53701896532017,-0.0500041980849522,"1",-1.53701896532017,-1.8589304746303,0.31266080506855,-2.56763925265915,-1.18367020368847
-1.53583319684314,-0.0500041980849522,"1",-1.53583319684314,-1.85815214127957,0.312177696784113,-2.56608383674198,-1.18321027941736
-1.5346474283661,-0.0500041980849522,"1",-1.5346474283661,-1.85748504005147,0.312097810157718,-2.56435763486454,-1.18314416657317
-1.53346165988906,-0.0500041980849522,"1",-1.53346165988906,-1.85669107089857,0.312055352448029,-2.56263118349497,-1.18338652226792
-1.53227589141203,-0.0500041980849522,"1",-1.53227589141203,-1.85593061059205,0.311414216306086,-2.56101704207043,-1.18360076461006
-1.53109012293499,-0.0500041980849522,"1",-1.53109012293499,-1.85518680101409,0.311200908753666,-2.5596280584138,-1.18384151281985
-1.52990435445795,-0.0500041980849522,"1",-1.52990435445795,-1.85454479003775,0.310965734638914,-2.55823906119093,-1.18408357488052
-1.52871858598091,-0.0500041980849522,"1",-1.52871858598091,-1.85376237917202,0.310585122592844,-2.55685005003515,-1.18432556088204
-1.52753281750388,-0.0500041980849522,"1",-1.52753281750388,-1.85288456052279,0.310144106336319,-2.55546102457982,-1.1845674688229
-1.52634704902684,-0.0500041980849522,"1",-1.52634704902684,-1.85218217005921,0.309724080145888,-2.55393876545523,-1.18480929670153
-1.5251612805498,-0.0500041980849522,"1",-1.5251612805498,-1.85150088226749,0.309311328295204,-2.5522278326978,-1.18453757893309
-1.52397551207277,-0.0500041980849522,"1",-1.52397551207277,-1.8507594459065,0.309216475580204,-2.5509193270353,-1.18389695380543
-1.52278974359573,-0.0500041980849522,"1",-1.52278974359573,-1.85009657464158,0.309324122892777,-2.54960912505681,-1.18326234458121
-1.52160397511869,-0.0500041980849522,"1",-1.52160397511869,-1.84928556635344,0.308765645938939,-2.54820935020787,-1.18346471899846
-1.52041820664166,-0.0500041980849522,"1",-1.52041820664166,-1.84856578647672,0.308688811800701,-2.54670087716437,-1.18370669336591
-1.51923243816462,-0.0500041980849522,"1",-1.51923243816462,-1.84790642715555,0.308637589721358,-2.54519240266707,-1.18394860470039
-1.51804666968758,-0.0500041980849522,"1",-1.51804666968758,-1.84718870167065,0.308404362276036,-2.54366758875489,-1.18419045163165
-1.51686090121055,-0.0500041980849522,"1",-1.51686090121055,-1.84618750130896,0.30793166021081,-2.54203118666868,-1.18445483865626
-1.51567513273351,-0.0500041980849522,"1",-1.51567513273351,-1.84534540185303,0.307755370895669,-2.54063977994393,-1.18472699489762
-1.51448936425647,-0.0500041980849522,"1",-1.51448936425647,-1.84455964688811,0.307745442858511,-2.53913043017246,-1.18499907523611
-1.51330359577944,-0.0500041980849522,"1",-1.51330359577944,-1.84378922231836,0.307627750241572,-2.53762107903623,-1.18527107815367
-1.5121178273024,-0.0500041980849522,"1",-1.5121178273024,-1.8430386246153,0.30741799891024,-2.53611172650851,-1.18554300213223
-1.51093205882536,-0.0500041980849522,"1",-1.51093205882536,-1.84232066293419,0.306761833404869,-2.53471384700019,-1.18581484565375
-1.50974629034833,-0.0500041980849522,"1",-1.50974629034833,-1.84160274193627,0.306201939475136,-2.53335002959553,-1.18608660720016
-1.50856052187129,-0.0500041980849522,"1",-1.50856052187129,-1.8407110917049,0.305996236437156,-2.53197977557174,-1.18635828525341
-1.50737475339425,-0.0500041980849522,"1",-1.50737475339425,-1.83993697957727,0.305859020505804,-2.53018736915373,-1.18605599876396
-1.50618898491722,-0.0500041980849522,"1",-1.50618898491722,-1.8390235680798,0.305465777554376,-2.52854675297264,-1.18608852532872
