"period","borealization_index","order"
"preindustrial",-1.92527829895976,1
"preindustrial",-0.142403572873108,1
"preindustrial",-0.983334215631359,1
"preindustrial",-0.755278988049684,1
"preindustrial",-1.49013865271734,1
"preindustrial",-2.03738063941304,1
"preindustrial",-1.92287442915648,1
"preindustrial",-1.29553469788895,1
"preindustrial",-1.59228640226923,1
"preindustrial",0.111650520951659,1
"preindustrial",-1.7092069093241,1
"preindustrial",-2.55835244805332,1
"preindustrial",-2.66081258812977,1
"preindustrial",0.172801370443257,1
"preindustrial",-1.08037454988868,1
"preindustrial",-0.114170467486623,1
"preindustrial",-0.531719124127298,1
"preindustrial",-0.0890232929068988,1
"preindustrial",-0.898078249786562,1
"preindustrial",-1.84445076557304,1
"preindustrial",-2.15907395828305,1
"preindustrial",-0.0491114852407716,1
"preindustrial",-0.475537768770417,1
"preindustrial",-0.509946618928803,1
"preindustrial",-2.60745050375318,1
"preindustrial",0.968365330082143,1
"preindustrial",-1.76960532046097,1
"preindustrial",-1.28187049486483,1
"preindustrial",-1.88432776255471,1
"preindustrial",-2.59915147385356,1
"preindustrial",0.0152368989002596,1
"preindustrial",-0.565415549676407,1
"preindustrial",-1.07123019141869,1
"preindustrial",0.298157587375137,1
"preindustrial",-1.07696420117075,1
"preindustrial",-1.43635281904286,1
"preindustrial",-0.990388131491072,1
"preindustrial",-0.712817834176382,1
"preindustrial",-1.83441687833692,1
"preindustrial",0.268342485170746,1
"preindustrial",-1.01954483008652,1
"preindustrial",0.143104653792814,1
"preindustrial",-0.858747301298628,1
"preindustrial",-0.987744569230872,1
"preindustrial",-0.837278816533824,1
"preindustrial",0.961915117005106,1
"preindustrial",-1.80262772459481,1
"preindustrial",-0.696991550078311,1
"preindustrial",-2.38410498461118,1
"preindustrial",-1.57815136701568,1
"preindustrial",-0.22223731407463,1
"preindustrial",-3.84515083447188,1
"preindustrial",1.65347365256573,1
"preindustrial",-1.62566070293878,1
"preindustrial",-2.8245058400628,1
"preindustrial",-2.34959995857868,1
"preindustrial",0.00350970783076321,1
"preindustrial",-2.70701101593559,1
