"model","year","borealization_index"
"ACCESS-CM2",2023,0.635663141288656
"ACCESS-CM2",2023,-0.828813900278334
"ACCESS-CM2",2023,-0.217327418029589
"ACCESS-CM2",2023,-0.590143032707289
"ACCESS-CM2",2024,-0.025111574963845
"ACCESS-CM2",2024,1.10632053122446
"ACCESS-CM2",2024,0.176096549062004
"ACCESS-CM2",2024,-0.163242988424446
"ACCESS-CM2",2025,-1.01135801501714
"ACCESS-CM2",2025,-0.881017194379136
"ACCESS-CM2",2025,-0.481246585826774
"ACCESS-CM2",2025,-0.588571510319642
"ACCESS-CM2",2026,-0.687932129261558
"ACCESS-CM2",2026,0.164549391735344
"ACCESS-CM2",2026,0.718890415479685
"ACCESS-CM2",2026,-0.294810903586872
"ACCESS-CM2",2027,1.49220481814232
"ACCESS-CM2",2027,0.976153235589716
"ACCESS-CM2",2027,1.84479040212698
"ACCESS-CM2",2027,1.39097075126198
"ACCESS-CM2",2028,1.462620314099
"ACCESS-CM2",2028,2.28975599492097
"ACCESS-CM2",2028,1.46972794316059
"ACCESS-CM2",2028,1.6703323082775
"ACCESS-CM2",2029,1.72051789048185
"ACCESS-CM2",2029,0.360913017541688
"ACCESS-CM2",2029,0.739290651701957
"ACCESS-CM2",2029,1.27885749419441
"ACCESS-CM2",2030,0.856907199983859
"ACCESS-CM2",2030,1.09127155651921
"ACCESS-CM2",2030,0.762641089985492
"ACCESS-CM2",2030,-0.185599614425827
"ACCESS-CM2",2031,-0.0253069046338181
"ACCESS-CM2",2031,0.276131679450159
"ACCESS-CM2",2031,0.658519832539698
"ACCESS-CM2",2031,0.236996190384881
"ACCESS-CM2",2032,-0.0200682079667912
"ACCESS-CM2",2032,0.117262164007196
"ACCESS-CM2",2032,0.924432068563514
"ACCESS-CM2",2032,-0.630313184681484
"ACCESS-CM2",2033,1.47958080233208
"ACCESS-CM2",2033,0.0979686754986832
"ACCESS-CM2",2033,1.14059427468628
"ACCESS-CM2",2033,-0.214887891720361
"ACCESS-CM2",2034,1.17645570634769
"ACCESS-CM2",2034,1.60060382454069
"ACCESS-CM2",2034,1.46191864644431
"ACCESS-CM2",2034,1.43520542079155
"ACCESS-CM2",2035,1.32405679599873
"ACCESS-CM2",2035,1.33129999747513
"ACCESS-CM2",2035,2.43150153884346
"ACCESS-CM2",2035,2.52319354799647
"ACCESS-CM2",2036,2.43152716144804
"ACCESS-CM2",2036,1.32225367994631
"ACCESS-CM2",2036,2.70078012477431
"ACCESS-CM2",2036,2.36201774266659
"ACCESS-CM2",2037,1.73500413804604
"ACCESS-CM2",2037,2.10913800880856
"ACCESS-CM2",2037,1.00753677758592
"ACCESS-CM2",2037,1.07150197492195
"ACCESS-CM2",2038,0.153324802228787
"ACCESS-CM2",2038,-0.127393663283669
"ACCESS-CM2",2038,-0.507204143935518
"ACCESS-CM2",2038,0.549997948807896
"ACCESS-CM2",2039,0.344501990061951
"ACCESS-CM2",2039,-0.117364178326244
"ACCESS-CM2",2039,0.029008450778692
"ACCESS-CM2",2039,-0.598345666435335
"ACCESS-CM2",2040,0.839193489972016
"ACCESS-CM2",2040,0.599016701478115
"ACCESS-CM2",2040,0.228150544763926
"ACCESS-CM2",2040,0.516213914565314
"ACCESS-ESM1-5",1941,-0.816188862635961
"ACCESS-ESM1-5",1941,-1.109317739587
"ACCESS-ESM1-5",1941,-2.25345918146263
"ACCESS-ESM1-5",1941,-0.759327902351813
"ACCESS-ESM1-5",1942,-1.71875713299031
"ACCESS-ESM1-5",1942,-1.96566925554345
"ACCESS-ESM1-5",1942,-0.241719904576835
"ACCESS-ESM1-5",1942,-1.10755396210144
"ACCESS-ESM1-5",1943,0.0543138845323203
"ACCESS-ESM1-5",1943,-0.805317727756165
"ACCESS-ESM1-5",1943,-1.25897366157792
"ACCESS-ESM1-5",1943,-0.57833994360504
"ACCESS-ESM1-5",1944,-0.881687373662615
"ACCESS-ESM1-5",1944,-0.845376597292203
"ACCESS-ESM1-5",1944,-1.6740463052743
"ACCESS-ESM1-5",1944,-1.86329147608571
"ACCESS-ESM1-5",1945,-1.87636952662336
"ACCESS-ESM1-5",1945,-1.11020282072665
"ACCESS-ESM1-5",1945,-0.789175998910661
"ACCESS-ESM1-5",1945,-2.34401683812799
"ACCESS-ESM1-5",1946,-1.03331147974861
"ACCESS-ESM1-5",1946,-0.753610935145119
"ACCESS-ESM1-5",1946,-1.19370388334737
"ACCESS-ESM1-5",1946,-1.30087755593178
"ACCESS-ESM1-5",1947,0.26103193209977
"ACCESS-ESM1-5",1947,-0.0992171432032559
"ACCESS-ESM1-5",1947,-0.71914957073188
"ACCESS-ESM1-5",1947,-0.313456355959743
"ACCESS-ESM1-5",1948,-0.14602138562079
"ACCESS-ESM1-5",1948,-1.90084606011692
"ACCESS-ESM1-5",1948,-1.34029808818814
"ACCESS-ESM1-5",1948,-1.40156565813067
"ACCESS-ESM1-5",1949,-2.01390505529465
"ACCESS-ESM1-5",1949,-2.66081097945996
"ACCESS-ESM1-5",1949,-2.14234186616537
"ACCESS-ESM1-5",1949,-1.06742133629728
"ACCESS-ESM1-5",1950,-0.56263351642681
"ACCESS-ESM1-5",1950,-1.33297143964391
"ACCESS-ESM1-5",1950,-0.830722907034133
"ACCESS-ESM1-5",1950,-1.00275892968982
"ACCESS-ESM1-5",1951,-2.05985454362162
"ACCESS-ESM1-5",1951,-1.05083080202765
"ACCESS-ESM1-5",1951,-0.593660565386983
"ACCESS-ESM1-5",1951,-0.289351797952245
"ACCESS-ESM1-5",1952,-2.69916472571326
"ACCESS-ESM1-5",1952,-1.05652665073345
"ACCESS-ESM1-5",1952,-1.49615262651077
"ACCESS-ESM1-5",1952,-1.03896507215425
"ACCESS-ESM1-5",1953,-2.16836535133284
"ACCESS-ESM1-5",1953,-2.07566785435205
"ACCESS-ESM1-5",1953,-1.42860278442021
"ACCESS-ESM1-5",1953,-1.44224054558916
"ACCESS-ESM1-5",1954,-1.54708617100824
"ACCESS-ESM1-5",1954,-1.56194006371166
"ACCESS-ESM1-5",1954,-2.0056910551826
"ACCESS-ESM1-5",1954,-1.62323856034272
"ACCESS-ESM1-5",1955,-1.23810154605187
"ACCESS-ESM1-5",1955,-1.25932533329889
"ACCESS-ESM1-5",1955,-0.967108843735067
"ACCESS-ESM1-5",1955,-1.65141235441646
"ACCESS-ESM1-5",1956,-1.98500461042523
"ACCESS-ESM1-5",1956,-2.10874803465782
"ACCESS-ESM1-5",1956,-3.58638919019439
"ACCESS-ESM1-5",1956,-2.23702206449702
"ACCESS-ESM1-5",1957,-2.89799240075224
"ACCESS-ESM1-5",1957,-2.70117691467587
"ACCESS-ESM1-5",1957,-2.10949405124729
"ACCESS-ESM1-5",1957,-2.37129096020951
"ACCESS-ESM1-5",1958,-2.31572480762432
"ACCESS-ESM1-5",1958,-1.13081922125437
"ACCESS-ESM1-5",1958,-2.04002196721847
"ACCESS-ESM1-5",1958,-3.79645608020884
"ACCESS-ESM1-5",1959,-2.02680266131889
"ACCESS-ESM1-5",1959,-2.06415143881077
"ACCESS-ESM1-5",1959,-1.99354140846613
"ACCESS-ESM1-5",1959,-1.9544824597104
"ACCESS-ESM1-5",1960,-1.72419654672471
"ACCESS-ESM1-5",1960,-1.41666429854521
"ACCESS-ESM1-5",1960,-2.3838953005233
"ACCESS-ESM1-5",1960,-0.820643717495487
"ACCESS-ESM1-5",1961,-1.03214881926207
"ACCESS-ESM1-5",1961,-2.00178368337724
"ACCESS-ESM1-5",1961,-2.13717959486616
"ACCESS-ESM1-5",1961,-1.84832544081736
